70 nodes
241 edges
AaAb 1.715567 AaAj 168.363073 AaAz 30.263557 AaBm 94.067785 AaBn 94.802264 
AaBu 169.030992 AaCb 169.503548 AaCn 163.271399 AbAj 166.863136 AbAu 29.499089 
AbAx 29.921376 AbBd 195.925847 AbBu 167.530767 AbCb 167.999393 AbCh 56.695243 
AbCm 161.971939 AcAp 168.819274 AcAq 167.557826 AcAw 28.784555 AcBc 195.783932 
AcBr 94.781674 AcBz 168.237449 AcCc 57.169221 AcCl 164.657687 AcCo 163.033399 
AdCb 167.862617 AdCc 56.309157 AeAk 166.479711 AeAr 167.452369 AeAv 30.539711 
AeAx 30.599431 AeBj 197.065225 AeBl 96.469585 AeBq 96.146710 AeCj 57.654241 
AfAu 29.714085 AfBc 194.508249 AfCl 163.297400 AfCm 161.925074 AgAs 29.178290 
AgBc 196.456525 AgCb 169.653401 AgCo 163.206083 AgCr 164.810042 AhAk 165.445209 
AhAo 165.785572 AhAw 29.648627 AhBg 194.534928 AhBm 94.194341 AhBn 94.911752 
AhBu 167.297302 AhCm 161.932195 AiAq 167.126525 AiAw 29.518395 AiBb 197.545289 
AiBc 195.713895 AiBd 197.092958 AiBi 196.644478 AiBk 95.321595 AiBx 168.114284 
AiCd 57.829766 AjAy 182.467792 AjBh 102.022908 AjBi 101.890729 AjCl 133.859683 
AkAl 1.960439 AkAr 1.519945 AkAy 181.309625 AkBe 100.821447 AkBg 100.790811 
AkBj 101.695228 AkBk 189.409737 AkCc 149.030459 AkCg 149.165576 AlAm 1.532430 
AlAn 0.995643 AlAr 1.122349 AlAs 181.626717 AlBi 100.705708 AlBl 190.075937 
AlBm 190.390365 AlBq 190.273251 AlCi 150.730568 AlCk 150.744751 AlCq 132.552515 
AlCr 133.249532 AmAt 179.892933 AmBr 188.754198 AmBt 2.510686 AmCh 147.737937 
AnAv 181.562419 AnAw 181.640186 AnBb 100.625320 AnBf 100.484935 AnBo 190.063643 
AnBs 189.941974 AnCa 0.461303 AnCh 148.365559 AnCk 150.276435 AnCm 132.361501 
AoAw 180.848846 AoBr 188.952014 AoBy 2.371543 AoCi 149.454398 AoCk 149.468953 
ApAu 182.841035 ApBj 100.732971 ApBk 190.627067 ApBu 0.425094 ApBz 1.567393 
ApCg 150.963795 ApCr 133.335310 AqBh 100.960248 AqBq 189.682603 AqBr 188.788685 
AqCp 132.841226 ArAv 181.256083 ArBk 190.413891 ArBm 190.456217 ArBo 190.541221 
ArCe 150.070325 ArCn 134.075482 AsAu 1.163191 AsBe 194.221128 AsBl 83.986463 
AsCk 77.989833 AtAy 1.935293 AtBg 193.766108 AtBr 82.777338 AtCb 181.785484 
AtCc 77.289174 AtCo 165.558989 AtCr 167.084701 AuAz 1.445567 AuBa 1.340949 
AuBr 82.691828 AuBw 182.381301 AuCf 78.536011 AvAw 0.862553 AvBx 181.606725 
AvCd 79.503816 AwBg 194.172952 AwBy 180.899962 AwCf 78.704853 AwCg 78.401741 
AwCj 78.830839 AxBp 81.899100 AxBr 81.646975 AxCe 77.217159 AxCf 78.369204 
AxCg 78.089544 AxCh 78.410534 AyBa 1.272037 AyBd 195.712271 AyBg 194.525119 
AyBu 183.054129 AyCe 77.984972 AyCg 78.848128 AzBl 83.446934 AzBw 181.890436 
AzCn 166.746198 AzCr 167.770666 BaBl 83.926259 BaCe 77.814569 BbBe 1.939385 
BbBw 100.708013 BcBj 1.588481 BcBs 189.054847 BcBz 98.477605 BcCb 99.038719 
BcCf 193.894507 BcCo 141.979417 BdBn 189.428602 BdCp 142.205292 BeBz 98.426785 
BeCc 195.635149 BfBs 190.622655 BfBv 99.054736 BfBw 100.568363 BfCk 197.132863 
BfCo 143.393813 BgBs 189.153825 BgBv 98.449828 BgBx 99.143675 BgCh 193.992647 
BhCp 142.146058 BiBm 189.759642 BiBo 189.919698 BiCd 195.829998 BjCl 142.740282 
BkBp 1.992331 BkBs 0.422307 BkBy 189.188653 BkCq 114.624161 BlCi 92.808275 
BlCq 113.916199 BmBu 190.933836 BmBv 190.356997 BnBr 1.817195 BnBs 1.124344 
BoBp 1.906890 BoBq 1.315526 BoBv 190.437841 BoCd 92.766027 BoCm 113.881920 
BpBq 1.567628 BpCi 91.758655 BqCq 114.393079 BrBt 188.689038 BrBx 188.759064 
BrCi 92.287146 BsBz 189.672743 BsCc 91.861476 BtCg 150.584031 BtCk 150.524323 
BtCo 132.116167 BuCd 149.463890 BvBz 0.661451 BvCa 1.985307 BwCj 148.382005 
BxCb 1.133337 BxCh 148.550166 BxCi 150.448717 BxCl 131.817042 ByBz 0.916241 
ByCl 131.813321 CaCg 150.053114 CaCj 148.194379 CbCj 149.696462 CcCq 129.020089 
CdCo 127.994786 CdCr 129.749212 CeCh 1.815074 CeCj 1.835460 CfCi 1.994857 
CfCp 128.529763 CgCi 0.282845 CgCm 128.618408 CiCm 128.801689 CmCo 0.751622 
CoCr 1.895022 
-15.802844 99.334829 0.000000
-16.240630 97.691523 0.225965
-16.348182 98.991590 0.917290
-16.633327 97.658631 0.213739
-17.414516 98.898459 0.329244
-16.366823 97.639359 0.052085
-16.405680 99.605720 0.180557
-16.496630 97.630631 -0.075396
-17.247647 98.897097 0.619022
-62.004063 -50.631085 -61.006527
-61.069413 -49.564302 -61.059295
-60.929725 -51.457801 -60.570961
-61.434382 -50.043469 -60.265461
-60.275942 -51.189843 -61.272439
-61.546304 -49.742365 -61.202990
-61.023414 -51.560356 -61.035776
-61.179987 -50.514402 -60.022786
-61.761456 -50.730664 -60.373067
-0.943943 97.203920 24.808563
-0.760943 96.758590 24.170056
0.006745 97.873056 24.846813
-0.477953 96.580135 25.636401
-0.905961 97.139337 25.138305
0.479423 96.013750 24.983058
0.437599 97.357576 25.566506
-0.173074 96.792541 25.790113
-0.763488 96.955445 25.449205
-17.306937 -97.987645 16.760153
-16.828187 -96.154322 16.703066
-16.594667 -97.453338 17.698676
-16.595604 -96.206075 16.475145
-17.654597 -97.456944 17.085704
-16.991279 -96.181090 16.676030
-16.589174 -98.090085 17.056299
-16.931851 -97.000918 17.733901
-17.496101 -97.427919 17.377687
73.307862 69.139358 -0.000000
73.889504 67.755433 0.591466
73.257335 69.055089 0.412376
73.681885 68.042485 -0.861284
73.865226 68.836484 -0.247719
72.919274 67.187678 -0.096579
73.684580 68.159942 0.865953
73.051213 67.506861 0.756603
73.560823 69.018087 -0.315670
-59.649271 -51.774710 -60.611480
-61.377148 -51.471048 -61.253952
-60.490098 -52.217507 -59.923087
-60.146628 -51.134090 -61.416627
-59.685313 -51.671451 -60.948578
-59.776826 -51.042980 -60.307691
-60.120667 -51.693212 -59.761367
-60.490982 -50.782345 -61.294857
-60.452336 -52.480580 -60.745018
-0.147378 86.168475 -52.387697
-0.732648 84.887347 -53.002461
0.149488 85.688223 -51.539907
0.057517 84.186033 -52.487318
0.252868 86.142508 -52.479733
-0.418330 84.283952 -52.539956
-0.022695 86.178364 -52.427006
0.040750 84.207320 -52.618802
0.005477 86.179369 -52.392292
68.820274 -23.411219 -68.911359
68.484216 -21.585263 -69.269775
69.084708 -22.474064 -67.928249
68.706462 -21.503198 -68.556467
68.557045 -23.341567 -68.782400
68.031940 -22.063001 -69.231442
69.074355 -23.360749 -68.629043

A text graph
