80 nodes
316 edges
AaBo 86.875966 AaCc 133.023665 AbAc 1.879657 AbAg 0.774038 AbAp 164.230990 
AbAu 126.282596 AbBn 85.966046 AbBq 86.870534 AbCf 132.367924 AbCg 132.908596 
AcAd 1.755773 AcAl 165.313018 AcAr 165.076845 AcAs 126.700298 AcBo 87.716861 
AcBt 153.634602 AcBu 152.933927 AcBy 151.675075 AcBz 152.495788 AcCh 131.574314 
AcCk 133.051700 AcCp 153.881381 AcCq 153.257670 AdAe 1.351108 AdAo 164.462083 
AdAq 163.384008 AdBc 147.508685 AdBe 147.630816 AdCa 151.218912 AdCh 132.391346 
AdCi 133.836089 AdCl 152.992482 AeAk 165.617532 AeBe 148.938433 AeBm 87.749273 
AeBn 86.563402 AeBv 153.415041 AeBz 153.061942 AeCh 132.067237 AeCk 133.536367 
AeCv 70.366340 AfCs 151.909487 AfCx 71.349985 AfDb 71.586685 AgAj 164.893846 
AgAk 164.752925 AgAy 126.944709 AgBc 148.153052 AgBh 149.246395 AgCc 132.859098 
AgCm 152.929671 AgCx 70.097966 AhAy 127.839967 AhAz 127.191111 AhBd 148.964418 
AhCb 152.567260 AhCk 133.650002 AhCz 70.450676 AiAm 163.281607 AiAo 164.573780 
AiBk 86.003033 AiCi 132.316812 AiCj 131.908400 AiCw 71.675805 AiDa 71.696528 
AjAk 1.561701 AjAt 189.154234 AjBi 33.610991 AjBs 194.442710 AjCg 199.654116 
AjCr 73.561833 AjCy 167.415602 AjCz 165.715308 AkBb 35.676592 AkBf 34.842235 
AkBu 27.947306 AkCi 197.740314 AkCk 198.655033 AlAu 189.617857 AlBh 34.821107 
AlCq 74.251508 AmAu 188.133719 AmBk 192.807071 AmBz 29.207222 AmCe 197.533927 
AmCi 196.899354 AmCz 164.026961 AmDa 165.175990 AnBl 193.209566 AnBo 194.207338 
AnCf 198.541154 AnCg 199.605957 AnCi 198.715199 AnCj 198.670459 AnCt 74.130696 
AoAu 188.931497 ApAt 189.131166 ApAw 190.319840 ApAy 190.632231 ApBi 34.570318 
ApBq 194.575348 ApBs 194.047605 ApBt 28.536831 ApCa 28.364842 ApCn 74.309803 
AqBq 193.411038 AqCb 27.999848 AqCe 197.604051 AqCl 73.788060 AqCz 164.579362 
ArAu 189.584187 ArAz 189.022094 ArBf 33.644849 ArBg 34.341253 ArBk 194.456402 
ArBy 28.178012 ArCb 27.935057 ArCe 199.319852 ArCu 166.757268 AsAt 1.301906 
AsAw 1.036899 AsBa 1.507523 AsBd 181.178804 AsBv 182.079112 AsCy 152.434698 
AtAw 1.686325 AtBa 1.539174 AtBs 106.331028 AtCi 84.091251 AtCu 151.621158 
AtCz 152.041783 AuBh 179.742556 AuBv 181.237685 AuBy 180.379184 AuCa 180.616378 
AuCb 182.150643 AuCc 83.139721 AuCj 81.916590 AuCt 152.911386 AuCy 151.460663 
AvAw 1.527735 AvAy 1.836252 AvCa 179.782998 AvCd 82.984313 AvCe 83.200429 
AvCq 150.563671 AwAz 1.883782 AwBb 180.755538 AwBg 179.226710 AwCg 83.763083 
AwCz 152.025635 AxBa 1.008041 AxBl 106.950177 AxBv 181.493693 AxCe 83.771727 
AxCm 151.044576 AxCw 152.846892 AxDb 153.179248 AyAz 1.679735 AyBe 179.990499 
AyBf 180.812815 AyBr 108.236140 AyCa 181.513152 AyCb 183.038344 AyCi 85.166455 
AyCo 152.482341 AzBa 1.594024 AzBq 107.374517 AzBs 106.978331 AzBt 181.278581 
AzCl 151.440966 BaBn 107.044272 BaBy 180.330740 BaCx 152.404762 BbBi 1.832967 
BbBp 190.781904 BbCe 201.305196 BbCi 200.938778 BcBg 0.343806 BcBn 189.973296 
BcBt 7.689753 BcBw 7.109857 BcCl 51.180177 BdBh 1.561648 BdBj 0.859959 
BdBn 191.186676 BdBp 190.701686 BdBy 5.431615 BdBz 5.073143 BdCc 200.986352 
BdCe 201.107930 BdCy 165.512447 BeBh 1.848005 BeBv 5.950689 BeBw 6.461696 
BeBz 5.636025 BfBo 191.849202 BfBw 6.010171 BfCl 51.527638 BfCs 51.704023 
BfCw 165.993597 BgBv 6.452036 BgBw 6.943144 BgBx 7.012742 BgCf 198.961350 
BgCj 199.035913 BgCz 162.831655 BgDb 163.948944 BhBi 1.912669 BhCi 200.784189 
BhCt 51.062219 BhCu 165.561763 BhDa 165.498187 BiBj 1.511794 BiBn 189.758604 
BiBq 190.799497 BiCl 51.901513 BiCq 52.224502 BiCw 164.140286 BjBw 6.898124 
BjBz 5.912869 BkBn 1.118123 BkBs 1.710349 BkCg 61.437930 BkCk 61.007854 
BkCn 192.656026 BkCt 193.315469 BlBp 0.648120 BlBr 0.896925 BlCl 191.763395 
BlCq 190.984346 BlCu 63.572584 BmCg 60.607380 BnBp 1.048838 BnBu 191.647539 
BnCy 63.471675 BoBu 191.963912 BoBv 192.552401 BoCf 59.849837 BoCr 192.448609 
BoCs 191.309705 BoCy 65.151714 BpBy 190.404400 BpCf 61.452711 BpCr 191.812482 
BpCt 192.207744 BpCy 63.769226 BqCf 60.630483 BqCk 59.984314 BqCu 65.151316 
BrBu 191.436377 BrCs 191.179315 BrCz 64.602063 BsBz 192.551034 BsCk 59.308010 
BsCu 65.253093 BtCp 54.585474 BuCb 1.643465 BuCs 54.976347 BuCy 166.202631 
BvBz 0.373965 BvCb 1.150232 BvCc 200.809670 BvCp 53.673828 BwCb 1.901107 
BwCf 199.118223 BwCi 199.467017 BwCq 53.799104 BwDb 165.680499 BxBy 1.846654 
BxBz 1.190375 BxCe 201.534836 BxDa 166.633224 BzCb 1.243450 CaCr 54.017320 
CaCt 54.360905 CbCe 201.523493 CbCs 54.927383 CcCk 1.189866 CdCe 1.601330 
CeCl 192.874198 CeCs 191.269749 CfCt 192.285944 CfCu 115.437302 CfCx 117.074152 
CfCz 116.324643 CfDb 116.930306 CgDa 116.153957 ChCn 191.148023 ChCu 114.081126 
CiCz 115.605990 CjCp 192.524781 CjCq 190.899471 CjCt 192.340535 CjCu 115.353749 
CjCv 116.669162 CjDa 116.034365 CkCr 193.064544 ClCx 183.050777 CmCs 0.834283 
CmCt 1.848047 CnCw 182.699048 CnCz 181.324665 CoCu 181.843237 CoCv 180.812119 
CqCy 182.720059 CrCs 1.442998 CrCw 183.006529 CsCv 180.776534 CsDb 182.008873 
CtCz 181.955065 CtDb 183.151143 CuCv 1.904795 CuCy 0.537058 CvCx 1.284662 
CxDb 0.345684 
-99.693170 11.069808 -0.000000
-98.727173 9.993434 0.639737
-99.659774 10.289243 -0.965213
-99.734931 9.219423 0.424959
-100.382977 10.400767 0.325169
-99.429407 9.092804 0.021901
-99.084598 10.677228 0.701452
-99.620278 9.432338 0.741221
-98.752983 10.365347 -0.618079
25.550647 -95.276469 21.434279
26.290933 -94.052350 22.060713
25.558554 -95.273152 21.514666
25.338487 -93.365208 21.790896
25.920546 -95.192869 21.297366
26.461781 -94.059971 21.768186
26.013216 -94.624005 22.246329
25.658736 -93.523954 20.785732
25.272181 -95.211230 21.662681
-13.305506 62.844001 -77.345205
-12.876387 61.794069 -76.706097
-13.479997 62.315143 -76.448861
-13.977914 61.167454 -76.756538
-14.289974 62.621112 -77.107923
-14.577249 61.868635 -77.687047
-14.056488 62.448294 -78.069967
-13.603929 60.920404 -77.538696
-14.398226 62.024419 -76.707339
0.079886 -100.786560 -1.186882
0.092664 -99.356888 -1.684118
0.827398 -100.564951 -0.380704
0.303251 -99.345383 -0.525246
1.431760 -100.597973 -1.458591
0.129566 -99.184189 -1.389134
0.302474 -100.633989 -1.849865
0.612936 -99.081436 -0.776789
0.007961 -100.457842 -0.618572
-55.329635 81.743826 19.779159
-54.260037 80.587993 19.848600
-54.211120 82.234077 20.525913
-54.793576 81.149500 20.559938
-53.499536 82.023410 19.472239
-54.839869 80.733505 19.598238
-54.595813 82.444651 19.340915
-54.487112 81.026015 20.597631
-53.766126 82.240408 19.295278
6.608041 -100.619378 2.200247
6.770265 -99.470451 2.808709
5.889771 -100.239597 1.319172
6.415649 -99.121403 1.558486
5.906969 -100.781995 2.250532
5.461280 -99.009304 1.987743
5.563677 -100.062715 1.366349
5.967974 -98.896989 2.637807
5.878146 -100.768815 2.340361
-1.178409 100.386102 -3.568916
-2.352169 98.990362 -3.813643
-2.203756 100.480335 -4.381279
-1.567643 99.746796 -4.422595
-1.856363 100.891165 -3.643221
-2.674398 99.157934 -3.792351
-1.573275 100.139531 -2.724993
-1.887713 99.816417 -4.548922
-2.247262 100.884880 -3.412217
8.181451 -86.496595 -50.557372
8.491327 -84.983098 -50.912564
9.083583 -86.047494 -49.599185
8.419586 -85.676084 -49.699934
8.923188 -86.816516 -50.560487
9.625044 -85.161995 -50.298802
9.381306 -86.175514 -49.749063
8.844797 -84.900982 -50.161336
8.579726 -86.715929 -50.276355
-71.606114 34.855929 60.458517
-71.906131 32.978876 60.580625
-71.899114 34.438510 61.323616
-72.546383 33.815848 61.315413
-72.132761 34.956935 60.488037
-71.363353 33.279873 60.709038
-71.607764 34.420932 61.227358
-72.224162 33.846221 61.436854

A text graph
