82 nodes
201 edges
AaAa 0.000000 AbAc 1.478256 AcAd 1.478256 AdAe 1.478256 AeAf 1.478256 
AfAg 1.478256 AgAh 1.478256 AhAi 1.478256 AiAj 1.478256 AjAk 1.478256 
AkAl 1.478256 AlAm 1.478256 AmAn 1.478256 AnAo 1.478256 AoAp 1.478256 
ApAq 1.478256 AqAr 1.478256 ArAs 1.478256 AsAt 1.478256 AtAu 1.478256 
AuAv 1.478256 AvAw 1.478256 AwAx 1.478256 AxAy 1.478256 AyAz 1.478256 
AzBa 1.478256 BaBb 1.478256 BbBc 1.478256 BcBd 1.478256 BdBe 1.478256 
BeAb 1.478256 AbAa 7.653669 AcAa 7.653669 AdAa 7.653669 AeAa 7.653669 
AfAa 7.653669 AgAa 7.653669 AhAa 7.653669 AiAa 7.653669 AjAa 7.653669 
AkAa 7.653669 AlAa 7.653669 AmAa 7.653669 AnAa 7.653669 AoAa 7.653669 
ApAa 7.653669 AqAa 7.653669 ArAa 7.653669 AsAa 7.653669 AtAa 7.653669 
AuAa 7.653669 AvAa 7.653669 AwAa 7.653669 AxAa 7.653669 AyAa 7.653669 
AzAa 7.653669 BaAa 7.653669 BbAa 7.653669 BcAa 7.653669 BdAa 7.653669 
BeAa 7.653669 BfBg 3.128689 BgBh 3.128689 BhBi 3.128689 BiBj 3.128689 
BjBk 3.128689 BkBl 3.128689 BlBm 3.128689 BmBn 3.128689 BnBo 3.128689 
BoBp 3.128689 BpBq 3.128689 BqBr 3.128689 BrBs 3.128689 BsBt 3.128689 
BtBu 3.128689 BuBv 3.128689 BvBw 3.128689 BwBx 3.128689 BxBy 3.128689 
ByBf 3.128689 BfAb 7.653669 BgAc 7.704113 BiAd 8.804857 BjAe 9.251363 
BlAf 11.370546 BmAg 11.936446 BoAh 14.142136 BpAi 14.655462 BrAj 16.453288 
BsAk 16.826330 BuAl 17.957575 BvAm 18.143727 BxAn 18.477591 ByAo 18.456615 
BfAp 18.393775 BfAq 18.477591 BfAr 18.393775 BfAs 18.143727 BfAt 17.731674 
BfAu 17.164771 BfAv 16.453288 BfAw 15.610945 BfAx 14.655462 BfAy 13.609462 
BfAz 12.501936 BfBa 11.370546 BfBb 10.265020 BfBc 9.251363 BfBd 8.414580 
BfBe 7.852964 BzCa 1.478256 CaCb 1.478256 CbCc 1.478256 CcCd 1.478256 
CdCe 1.478256 CeCf 1.478256 CfCg 1.478256 CgCh 1.478256 ChCi 1.478256 
CiCj 1.478256 CjCk 1.478256 CkCl 1.478256 ClCm 1.478256 CmCn 1.478256 
CnCo 1.478256 CoCp 1.478256 CpCq 1.478256 CqCr 1.478256 CrCs 1.478256 
CsCt 1.478256 CtCu 1.478256 CuCv 1.478256 CvCw 1.478256 CwCx 1.478256 
CxCy 1.478256 CyCz 1.478256 CzDa 1.478256 DaDb 1.478256 DbDc 1.478256 
DcBz 1.478256 BzBf 7.653669 CaBg 7.704113 CbBi 8.804857 CcBj 9.251363 
CdBl 11.370546 CeBm 11.936446 CfBo 14.142136 CgBp 14.655462 ChBr 16.453288 
CiBs 16.826330 CjBu 17.957575 CkBv 18.143727 ClBx 18.477591 CmBy 18.456615 
CnBf 18.393775 CoBf 18.477591 CpBf 18.393775 CqBf 18.143727 CrBf 17.731674 
CsBf 17.164771 CtBf 16.453288 CuBf 15.610945 CvBf 14.655462 CwBf 13.609462 
CxBf 12.501936 CyBf 11.370546 CzBf 10.265020 DaBf 9.251363 DbBf 8.414580 
DcBf 7.852964 DdBz 7.653669 DdCa 7.653669 DdCb 7.653669 DdCc 7.653669 
DdCd 7.653669 DdCe 7.653669 DdCf 7.653669 DdCg 7.653669 DdCh 7.653669 
DdCi 7.653669 DdCj 7.653669 DdCk 7.653669 DdCl 7.653669 DdCm 7.653669 
DdCn 7.653669 DdCo 7.653669 DdCp 7.653669 DdCq 7.653669 DdCr 7.653669 
DdCs 7.653669 DdCt 7.653669 DdCu 7.653669 DdCv 7.653669 DdCw 7.653669 
DdCx 7.653669 DdCy 7.653669 DdCz 7.653669 DdDa 7.653669 DdDb 7.653669 
DdDc 7.653669 
10.000000 0.000000 0.000000
7.071068 7.071068 0.000000
7.071068 6.916548 1.470158
7.071068 6.459742 2.876062
7.071068 5.720614 4.156269
7.071068 4.731468 5.254827
7.071068 3.535534 6.123724
7.071068 2.185080 6.724985
7.071068 0.739128 7.032332
7.071068 -0.739128 7.032332
7.071068 -2.185080 6.724985
7.071068 -3.535534 6.123724
7.071068 -4.731468 5.254827
7.071068 -5.720614 4.156269
7.071068 -6.459742 2.876062
7.071068 -6.916548 1.470158
7.071068 -7.071068 0.000000
7.071068 -6.916548 -1.470158
7.071068 -6.459742 -2.876062
7.071068 -5.720614 -4.156269
7.071068 -4.731468 -5.254827
7.071068 -3.535534 -6.123724
7.071068 -2.185080 -6.724985
7.071068 -0.739128 -7.032332
7.071068 0.739128 -7.032332
7.071068 2.185080 -6.724985
7.071068 3.535534 -6.123724
7.071068 4.731468 -5.254827
7.071068 5.720614 -4.156269
7.071068 6.459742 -2.876062
7.071068 6.916548 -1.470158
0.000000 10.000000 0.000000
0.000000 9.510565 3.090170
0.000000 8.090170 5.877853
0.000000 5.877853 8.090170
0.000000 3.090170 9.510565
0.000000 0.000000 10.000000
0.000000 -3.090170 9.510565
0.000000 -5.877853 8.090170
0.000000 -8.090170 5.877853
0.000000 -9.510565 3.090170
0.000000 -10.000000 0.000000
0.000000 -9.510565 -3.090170
0.000000 -8.090170 -5.877853
0.000000 -5.877853 -8.090170
0.000000 -3.090170 -9.510565
0.000000 -0.000000 -10.000000
0.000000 3.090170 -9.510565
0.000000 5.877853 -8.090170
0.000000 8.090170 -5.877853
0.000000 9.510565 -3.090170
-7.071068 7.071068 0.000000
-7.071068 6.916548 1.470158
-7.071068 6.459742 2.876062
-7.071068 5.720614 4.156269
-7.071068 4.731468 5.254827
-7.071068 3.535534 6.123724
-7.071068 2.185080 6.724985
-7.071068 0.739128 7.032332
-7.071068 -0.739128 7.032332
-7.071068 -2.185080 6.724985
-7.071068 -3.535534 6.123724
-7.071068 -4.731468 5.254827
-7.071068 -5.720614 4.156269
-7.071068 -6.459742 2.876062
-7.071068 -6.916548 1.470158
-7.071068 -7.071068 0.000000
-7.071068 -6.916548 -1.470158
-7.071068 -6.459742 -2.876062
-7.071068 -5.720614 -4.156269
-7.071068 -4.731468 -5.254827
-7.071068 -3.535534 -6.123724
-7.071068 -2.185080 -6.724985
-7.071068 -0.739128 -7.032332
-7.071068 0.739128 -7.032332
-7.071068 2.185080 -6.724985
-7.071068 3.535534 -6.123724
-7.071068 4.731468 -5.254827
-7.071068 5.720614 -4.156269
-7.071068 6.459742 -2.876062
-7.071068 6.916548 -1.470158
-10.000000 0.000000 0.000000

An ellipsoid with
5 divisions on x
20 divisions on the y-z
x axis: 10, y axis: 10, z axis: 10
a dicreasing rate of 1.5
