70 nodes
241 edges
AaAg 1.041163 AaAj 1.909576 AaAy 2.504108 AaBs 2.803126 AaCh 2.621240 
AbAk 25.389935 AbAq 14.353056 AbAx 10.969743 AbBj 20.450318 AbBm 3.837260 
AbBo 5.836116 AbCi 21.423280 AcAd 8.867130 AcAh 19.391651 AcBb 5.856557 
AcBf 7.015444 AcBh 3.265374 AcCq 14.654817 AdAg 3.069216 AdAr 9.858146 
AdAs 9.791677 AdBt 6.610444 AdBx 4.707603 AdCk 8.760172 AdCp 7.143846 
AdCq 6.392127 AeAt 1.802601 AeAx 14.326988 AeAy 4.821123 AeBs 4.167761 
AeCa 2.084443 AeCn 7.082903 AfAs 7.633112 AfAz 7.387037 AfBq 13.368941 
AfBs 3.373149 AfCi 16.667923 AgAw 2.371796 AgAy 2.032468 AgAz 1.488285 
AgBb 2.109774 AgBy 3.149920 AhAl 19.865145 AhAp 20.531338 AhAt 9.120621 
AhBn 16.152803 AhCf 22.077046 AiAm 5.835808 AiAu 17.967891 AiAv 12.618293 
AiAz 10.717629 AiBj 15.724592 AiBq 11.971550 AiBv 13.005150 AiCb 5.196801 
AiCc 18.775649 AiCf 18.530557 AiCi 13.485862 AiCk 6.310412 AiCq 16.249598 
AjAn 3.439085 AjCa 4.578407 AkAp 27.193414 AkAu 11.361399 AkAx 23.733034 
AkBn 2.130806 AkBw 22.368372 AkCj 10.213187 AlAn 13.954071 AlBq 6.961292 
AlBw 20.557833 AlCk 18.514106 AmAo 10.996229 AmBl 8.860090 AmBt 8.868112 
AmCm 6.502065 AnAo 8.029038 AnBf 6.091227 AnBk 13.277557 AnBs 1.457510 
AnCg 9.834024 AnCk 4.898173 AoAs 8.388939 AoAt 10.698227 AoBd 9.162284 
AoBj 5.423622 AoCc 9.225939 AoCg 9.201329 AoCh 7.831520 ApAx 8.479122 
ApBm 3.469799 ApBo 8.753383 ApBt 12.305758 ApBz 24.171092 AqAy 5.417829 
AqBc 12.598816 AqBe 9.223125 AqBq 10.730870 AqBw 11.356327 AqBz 8.568477 
AqCa 4.772785 AqCh 4.121452 ArBf 1.678798 ArBm 9.983202 ArBu 2.288354 
ArBx 14.366109 ArCi 8.069952 ArCo 10.380005 AsAz 8.710705 AsBj 13.725162 
AsBk 12.169529 AsBl 2.678682 AsBm 6.080176 AsCd 12.712034 AsCe 7.103010 
AsCg 14.688217 AsCi 12.057527 AsCk 6.272605 AtBd 10.130349 AtBi 11.430486 
AtBs 5.043005 AuAw 6.807647 AuAz 9.155038 AuCd 3.773608 AuCk 14.444480 
AuCn 3.453346 AvAy 5.192614 AvBa 11.648831 AvBn 8.911124 AvCf 9.048798 
AwBd 6.588886 AwBj 7.821437 AwBp 7.205497 AwBq 9.486679 AwBs 4.127346 
AwBu 10.906363 AwBx 5.966565 AwCd 3.933664 AxBo 11.393029 AxBu 7.222425 
AxCq 18.369951 AyBh 4.606432 AyBs 1.080378 AyBt 3.238536 AyBy 1.452701 
AyCb 3.091611 AzBm 11.958967 AzBw 12.678659 AzCk 10.334697 AzCl 12.419282 
AzCn 11.652164 BaBe 23.102013 BaCa 14.100123 BaCd 16.334378 BaCk 13.333803 
BbBf 3.474843 BbBg 11.846943 BbBy 2.089495 BcBg 18.986713 BcBj 20.418193 
BcBk 22.739463 BcBu 19.450917 BcBx 8.960583 BcCb 11.857000 BcCc 25.919860 
BcCi 24.204006 BcCr 18.021461 BdBj 6.015897 BdBm 18.565869 BdBx 9.054156 
BdBy 11.494346 BeBo 12.473981 BeBw 12.161605 BeBz 6.648886 BeCb 15.728947 
BeCi 23.487299 BeCk 16.015214 BeCq 4.639014 BfCh 7.436825 BfCi 9.098503 
BgCa 12.128382 BgCg 4.282417 BgCn 10.343088 BgCp 15.725200 BhBl 8.374002 
BhBm 12.785716 BhCh 6.200580 BhCi 9.190719 BhCl 14.127175 BiBv 22.861141 
BiBx 8.745117 BiCp 14.267612 BjBr 21.902372 BkBl 13.222586 BkBm 17.725178 
BkCe 17.794443 BkCm 8.042543 BlBm 4.615354 BlBw 9.544159 BlBx 11.486811 
BlCh 6.337066 BmBy 7.862440 BmCo 15.380353 BnCq 13.817849 BoBy 6.332180 
BoCb 5.569926 BoCg 11.694719 BoCh 4.808746 BoCm 18.345184 BoCr 13.430836 
BpBw 4.618530 BpBx 4.053589 BpCb 8.170174 BpCh 4.705614 BqBv 22.581020 
BqCd 13.284393 BqCm 7.691127 BrCb 13.590277 BsCd 6.172479 BsCj 6.985231 
BsCo 7.432974 BuBy 7.383019 BuCf 12.400471 BwCi 22.098034 BwCq 7.933345 
BxCh 5.534788 ByCr 9.249950 BzCc 17.170282 CaCb 5.586951 CaCd 4.178877 
CbCd 9.216776 CcCg 13.546710 CgCh 7.464362 CgCj 1.828024 ChCr 8.767905 
CiCk 17.576756 CjCq 6.606286 CkCl 10.876135 CkCn 14.495984 ClCp 4.164180 
CpCr 14.405320 
1.000000 0.000000 0.200000
-10.998428 -3.687083 2.320000
4.449142 5.913132 1.480000
0.737915 -2.072554 0.440000
0.528763 -3.560956 0.720000
-4.079109 -2.529994 0.960000
0.678790 0.989568 0.240000
2.596125 -13.349911 2.720000
-8.155496 5.064373 1.920000
-0.340040 1.358077 0.280000
13.972082 0.883696 2.800000
9.408943 5.302056 2.160000
-7.251639 10.789519 2.600000
-3.142865 -0.601994 0.640000
2.204346 5.364780 1.160000
-13.197959 -0.232124 2.640000
3.179008 -2.081804 0.760000
-2.814921 7.059477 1.520000
-6.155367 4.790768 1.560000
-0.562294 -4.968282 1.000000
5.501257 -6.610308 1.720000
3.810009 1.218127 0.800000
2.282705 -0.741118 0.480000
-8.930309 7.085872 2.280000
-1.348079 0.861791 0.320000
1.935557 1.735978 0.520000
-2.466872 10.924950 2.240000
-0.406352 2.770357 0.560000
-6.736167 -9.688346 2.360000
8.739662 -1.028740 1.760000
4.745744 -11.021702 2.400000
-2.544306 5.433830 1.200000
10.468904 -1.661941 2.120000
2.455846 3.407172 0.840000
9.584137 -9.928964 2.760000
7.567457 4.871713 1.800000
4.893414 9.851624 2.200000
-5.814076 2.153259 1.240000
-9.799818 -0.059646 1.960000
12.389634 -0.506913 2.480000
-5.255832 -3.651880 1.280000
-2.409648 -6.144396 1.320000
3.283597 8.594067 1.840000
-7.121387 -11.351028 2.680000
-1.795958 -0.120564 0.360000
-1.785611 4.021392 0.880000
-2.029227 9.178357 1.880000
-13.078306 -6.928053 2.960000
-6.827569 -7.306456 2.000000
1.617510 -6.604821 1.360000
-2.311257 1.912613 0.600000
10.015037 -6.966996 2.440000
-1.492877 -3.054721 0.680000
-4.228652 1.810663 0.920000
9.881228 10.198105 2.840000
2.359317 -4.633964 1.040000
-12.690456 7.218886 2.920000
10.221594 7.367429 2.520000
6.408393 -2.816470 1.400000
-0.915450 -1.778188 0.400000
3.136227 12.409838 2.560000
4.608596 -2.814400 1.080000
-7.904424 -1.232917 1.600000
-1.587612 -10.075688 2.040000
-1.779212 14.289661 2.880000
3.891781 -9.644379 2.080000
5.527792 0.896390 1.120000
-4.327255 -6.965262 1.640000
1.032131 -8.336348 1.680000
6.899309 2.059012 1.440000

A text graph
