80 nodes
316 edges
AaAd 0.879019 AaAg 1.918300 AaAm 2.577871 AaAq 2.670420 AaAu 2.250148 
AaAz 1.691859 AaBd 1.427798 AaBk 2.242847 AaCg 2.947787 AaCl 3.729169 
AaCu 4.218871 AbAn 9.750582 AbBg 12.731818 AbCb 11.796358 AbCl 13.100000 
AbCo 11.141750 AcAh 20.314563 AcAo 13.502636 AcAv 10.339566 AcBa 9.045461 
AcBl 16.592753 AcBn 26.426171 AcBr 6.182683 AcBu 18.416586 AcBy 18.685893 
AcCa 4.709453 AcCe 10.700949 AcCo 14.300065 AcCu 9.131408 AdAj 4.620994 
AdAt 4.630856 AdBd 1.792761 AdBh 4.393587 AdBm 3.694847 AdCo 3.262426 
AeAx 18.191855 AeAy 14.377347 AeBa 20.563664 AeBh 8.106112 AeCl 13.184387 
AeCz 13.380184 AfAj 9.125142 AfBm 15.163553 AfBq 23.451517 AfBy 15.359766 
AfCu 8.363950 AfCx 6.089912 AgAw 3.452205 AgAy 3.336168 AgAz 3.495837 
AgBe 4.703087 AgBf 5.775025 AgBm 4.941297 AgBp 6.626148 AgCo 4.417385 
AhBa 17.158874 AhBe 15.410592 AhBj 14.312861 AhBu 7.364680 AhCa 19.953761 
AhCd 23.437573 AhCe 16.819681 AhCf 11.975234 AhCl 12.475230 AiAo 10.394858 
AiBg 15.084888 AiBi 32.361885 AiBs 24.187459 AiDb 22.817041 AjAw 7.669973 
AjAz 3.984880 AjBg 14.678042 AjBq 15.762320 AjBs 5.112907 AjCf 15.873025 
AjCl 4.808275 AkBc 13.873253 AkBn 31.232633 AkBq 24.218926 AkCj 10.862144 
AkCk 19.523914 AlAo 3.623344 AlAq 7.277018 AlBa 14.324931 AlBe 10.371071 
AlBf 10.229890 AlCn 6.911569 AlCu 8.810023 AmAq 1.543195 AmAw 4.881466 
AmBl 6.905500 AmCg 2.893564 AnAr 16.199687 AnBc 20.804473 AnBl 14.269689 
AnBv 15.494426 AnCp 20.218508 AoAq 7.625628 AoBt 14.088144 AoBy 12.520568 
AoCl 6.198596 AoCw 8.814022 AoDa 17.195660 ApBe 18.166771 ApBg 5.944021 
ApBl 8.771271 ApBp 11.719797 ApBx 13.730459 ApCh 26.318278 ApCj 25.762550 
AqBc 7.347977 AqBr 6.679790 AqBv 5.567913 AqCe 4.899147 AqCk 5.476155 
AqCq 6.487180 ArBc 18.308747 ArBx 18.598995 ArDa 23.649740 AsBk 8.243436 
AsBz 18.967441 AsCy 19.042184 AtBa 16.359408 AtBd 4.558487 AtBe 5.670693 
AtBq 14.793085 AtBx 8.363151 AtCi 9.338733 AuAw 6.312776 AuBk 4.419202 
AuBu 6.360980 AuCe 5.791873 AuCi 8.221233 AuCm 9.571666 AuCo 5.172820 
AuCp 9.571679 AuCx 9.039662 AuDb 7.861565 AvAw 16.377337 AvBg 24.993107 
AvBm 16.770059 AvBp 13.359342 AvCb 5.053624 AvCr 9.228698 AvCs 22.597521 
AvCx 8.546301 AvCz 21.415847 AwBa 9.689183 AwBc 2.386400 AwBm 5.733400 
AwCv 5.156907 AwDa 17.275127 AxBr 17.212629 AxBx 5.864573 AxCo 16.848744 
AxCq 9.503446 AyBh 8.394387 AyCa 7.589557 AyCp 3.298740 AyCu 4.390308 
AyCw 7.070615 AyCx 5.154948 AzBs 8.538820 BaBm 15.354226 BaBo 12.773741 
BaBz 20.266262 BaCb 18.765846 BaCe 16.469546 BaCv 9.841885 BaDb 16.039033 
BbBp 15.129063 BbBx 21.728725 BbCf 3.902462 BbCl 10.588578 BbCo 7.924596 
BbCp 11.236653 BbCw 8.436733 BcBx 17.835762 BcCc 15.886543 BcCf 7.194785 
BdBy 8.348106 BdCn 7.339810 BdCp 9.433642 BdCt 6.735821 BdCv 8.065770 
BeBz 18.882111 BeCb 6.446295 BeCp 6.449785 BeDb 4.030728 BfBo 19.263902 
BfBw 6.820062 BfBx 9.115690 BfCf 17.171125 BfCj 17.447863 BfCr 11.954676 
BfCs 14.069359 BfCu 2.951893 BfCv 14.142223 BgBp 12.488740 BgBr 16.731459 
BgBs 18.350628 BgBz 2.843671 BgCd 25.899343 BgCj 21.364514 BgCn 7.421991 
BhBu 4.350696 BhBv 9.355182 BhCe 7.151958 BhCo 5.205016 BhCr 16.261804 
BhCs 8.930741 BhCt 8.423568 BiCa 16.672823 BiCk 10.069424 BiCn 16.564303 
BiCt 22.543118 BiCx 18.086108 BjBl 10.187272 BjBx 9.638417 BjCi 14.607710 
BjCv 20.136599 BkBp 7.450875 BkCa 10.990386 BkCb 12.316832 BkCc 12.622291 
BkCk 9.386184 BlBn 10.830298 BlBq 11.845313 BlBu 2.040527 BlBw 12.750040 
BlCa 14.425440 BlCq 4.121208 BlCy 13.710232 BmCr 17.070351 BnBo 16.248116 
BnBt 27.921370 BnBz 6.380352 BnCc 18.144321 BnCf 19.938119 BnCj 26.000893 
BnCz 14.747693 BnDb 22.388964 BoBr 14.098140 BoBu 14.984094 BoCc 23.647166 
BoCx 18.670270 BpCc 5.686411 BpCd 18.470622 BpCh 14.868194 BpCm 12.524455 
BqBu 11.129259 BqCh 27.058756 BqCw 13.679108 BqDa 19.831258 BqDb 20.569493 
BrCe 9.230668 BrCh 14.442582 BrCk 11.724062 BrCm 6.166352 BrCs 17.967149 
BrCw 5.920428 BsBu 11.527336 BsCv 17.596023 BsDb 4.392553 BtCb 21.292914 
BtCi 17.775916 BtCk 22.006989 BtCm 10.873218 BtCs 26.569433 BtCw 5.336142 
BtDb 18.546020 BuBx 10.335568 BuCh 20.220369 BvCm 10.351948 BvDb 4.661388 
BwBz 23.781180 BwCj 23.279043 BwCq 9.299803 BwCu 9.609659 BxCc 3.143545 
BxCt 15.918884 BxCu 11.742866 ByCu 9.783152 ByCv 15.842869 CbCi 16.972931 
CbCk 5.974777 CcCq 5.232458 CcCz 10.274524 CdCn 23.388596 CeCk 4.200184 
CfCh 24.373038 CfCi 10.401016 CfCy 13.309874 CgCm 5.087198 CgCv 7.191361 
CiCp 12.483756 CiCq 10.527064 CiCu 10.607580 CjCp 8.037800 CkCr 15.386380 
CkCu 6.182757 ClCu 2.979472 ClCw 8.690798 ClDb 7.807456 CmCq 14.073785 
CmCu 9.496157 CmDa 20.174963 CnCo 7.608881 CnCv 13.257578 CoCw 11.276682 
CqCx 13.232975 CqCz 10.032231 CrCt 21.298654 CsCu 14.598903 CtDa 14.391688 
CzDa 3.328931 
1.000000 0.000000 0.200000
2.816979 -9.803297 2.040000
-9.274905 6.278227 2.240000
0.834463 0.862364 0.240000
9.630980 -3.924821 2.080000
-11.302400 -1.488541 2.280000
-0.356737 1.353787 0.280000
10.484270 1.562078 2.120000
8.327069 13.427581 3.160000
-2.369023 -2.438797 0.680000
-12.796366 9.934435 3.240000
5.529304 0.887014 1.120000
-1.535509 0.449680 0.320000
-6.060005 -13.721383 3.000000
4.020044 4.180819 1.160000
11.847750 -7.076074 2.760000
-1.432772 -1.089571 0.360000
-16.354809 -1.216645 3.280000
-3.305458 8.799656 1.880000
-0.383971 -3.579464 0.720000
-0.011584 -1.999966 0.400000
-12.739737 -3.455301 2.640000
1.707042 4.055368 0.880000
-6.905193 -11.483828 2.680000
-2.331948 3.965100 0.920000
1.517606 -1.592756 0.440000
-2.723456 12.506909 2.560000
6.515196 8.613491 2.160000
0.346947 5.989961 1.200000
2.399897 0.022241 0.480000
-4.799906 -0.030003 0.960000
-3.854608 -3.184651 1.000000
12.145852 -1.148164 2.440000
1.648781 -3.423671 0.760000
-7.333062 -14.892488 3.320000
8.522700 -12.585849 3.040000
1.416019 2.180571 0.520000
3.924593 -3.709120 1.080000
3.787405 -1.286688 0.800000
14.441787 -5.347410 3.080000
9.843430 10.234593 2.840000
0.410334 -5.183785 1.040000
11.030936 5.663785 2.480000
-3.256525 5.275893 1.240000
-5.414032 -6.422481 1.680000
-4.200043 15.438900 3.200000
5.884345 -4.149034 1.440000
-6.176423 1.676840 1.280000
-7.784601 -8.599999 2.320000
-1.055533 -11.752695 2.360000
2.486134 -8.232809 1.720000
13.963605 1.008833 2.800000
-9.468477 1.583647 1.920000
-8.145820 -5.448450 1.960000
-3.193449 -9.476385 2.000000
-11.902389 8.455362 2.920000
-5.476483 -3.683495 1.320000
4.335700 11.830541 2.520000
0.140075 2.796494 0.560000
-14.277258 -3.898704 2.960000
7.158743 1.874138 1.480000
-2.783057 14.128503 2.880000
-2.278994 -6.406730 1.360000
-1.873352 2.343192 0.600000
2.616048 7.135565 1.520000
6.506351 -5.925149 1.760000
4.022577 1.207840 0.840000
-4.481686 6.383925 1.560000
1.307725 -6.876762 1.400000
-11.677879 5.712017 2.600000
9.527851 -7.295208 2.400000
8.980555 0.591299 1.800000
-3.182638 -0.332891 0.640000
5.597780 7.301017 1.840000
-1.610900 10.881406 2.200000
-7.370067 3.111609 1.600000
15.079311 3.996796 3.120000
4.457586 -16.197837 3.360000
4.175263 -12.943229 2.720000
-7.743245 -2.698547 1.640000

A text graph
