70 nodes
241 edges
AaAc 23.700106 AaAv 20.489065 AaBm 23.532658 AaBq 21.125248 AaCf 20.873726 
AaCg 24.396489 AbAh 21.883275 AbAo 23.801545 AbAy 22.684725 AbAz 22.775862 
AbBa 23.249683 AbBf 20.046900 AbBj 20.649013 AbBl 23.849928 AbBp 24.381047 
AcAv 20.840990 AcAz 24.666555 AcBf 23.497738 AcBm 24.905941 AcBs 20.294662 
AcBu 20.673900 AcBv 24.213483 AcCh 23.932995 AcCo 21.874022 AdCc 20.364602 
AdCg 23.786141 AdCr 20.392245 AeAf 22.416143 AeAi 23.868285 AeAl 24.179591 
AeAm 21.744800 AeAz 21.180962 AeBm 24.838082 AeBw 23.548938 AeCk 23.846302 
AeCo 20.239868 AfAj 20.383602 AfAm 20.574937 AfBd 22.938573 AfBl 20.531194 
AfBs 21.951982 AfCg 22.119291 AgAk 20.632019 AgAp 24.041548 AgAr 22.593254 
AgAu 21.442001 AgAz 23.792345 AgBa 24.797713 AgBg 21.367543 AgBl 21.479469 
AgBo 23.140653 AgBp 21.957920 AgCr 23.553353 AhAi 20.787003 AhAj 20.103913 
AhAs 22.396171 AhAv 21.128269 AhBb 23.914491 AhBd 20.544705 AhBf 23.121234 
AhBh 21.194882 AiAj 20.164044 AiAn 22.520649 AiAv 24.056328 AiBd 22.093293 
AiBj 24.963197 AiBn 20.789578 AiBo 21.418089 AiBu 23.596625 AiBx 24.353201 
AiCe 21.358838 AiCf 21.339036 AiCg 24.506142 AiCk 20.326370 AiCl 23.202466 
AiCp 24.791440 AjAx 20.515141 AjBd 22.555821 AjBg 23.968848 AjBj 23.427436 
AjCg 23.214477 AjCn 23.611908 AkAq 23.732015 AkAr 20.559638 AkBa 24.399813 
AkBm 20.374276 AkBq 21.563891 AkCg 22.538769 AkCm 22.846233 AkCq 20.291111 
AlAt 22.331316 AlBp 24.457962 AlBt 23.183023 AlCi 21.796145 AlCm 21.203078 
AmAp 23.085838 AmAu 24.808541 AmBb 23.088373 AmBv 23.744107 AmCb 23.986102 
AmCg 21.927072 AmCk 22.267736 AmCn 24.349635 AnAs 22.160601 AnCo 23.796902 
AoAw 21.926754 AoAx 24.898615 AoBg 24.180632 AoBy 21.686673 AoCf 21.429218 
AoCh 23.043458 AoCl 22.641315 AoCp 24.801436 ApAw 22.713523 ApAz 23.554565 
AqAz 24.780242 AqBl 20.222264 AqBv 21.607229 AqCg 24.728212 AqCh 22.662285 
ArAs 23.507650 ArBb 21.865546 ArBk 22.633509 ArBs 22.314487 AsCc 24.835082 
AtBd 20.022470 AtCb 23.472009 AtCd 24.756924 AtCl 21.945042 AuAw 24.301533 
AuBb 20.472936 AuBv 22.487168 AuBy 21.764637 AuBz 24.769079 AuCk 22.164917 
AuCn 20.769139 AvBx 23.251141 AwBt 21.442375 AwBu 20.037210 AwCj 23.572266 
AwCn 23.025587 AwCq 23.846230 AxBs 20.654316 AxCb 20.339223 AxCd 20.039022 
AxCe 21.379041 AxCh 21.698122 AyBa 22.318096 AyCp 24.323952 AzBc 20.596641 
AzBj 24.830414 AzCb 21.549606 AzCg 20.409730 BaBs 23.501625 BaBy 20.446251 
BaCi 21.992288 BbBe 24.896969 BbBf 20.099817 BbBp 23.951154 BbBq 24.923334 
BbBu 24.108869 BbCh 20.016900 BbCi 24.825912 BcBd 20.951503 BcBg 23.207719 
BcBi 21.061010 BcBq 23.461090 BcCe 21.976323 BcCm 21.733803 BdCj 22.204257 
BeBg 24.755892 BeCg 21.430858 BeCl 23.070028 BfBo 20.928900 BfBp 22.562770 
BfBx 21.965008 BfBy 22.506826 BfCa 22.309290 BfCc 22.686793 BgBh 21.698325 
BgCc 20.367204 BhBj 20.475251 BhBn 24.299967 BhBo 23.655461 BhBr 20.189966 
BhBy 24.197716 BhCc 24.481201 BhCr 20.687062 BiBj 21.669348 BiBq 20.465795 
BiBs 23.092304 BiBv 21.141362 BiBx 24.862321 BjBm 21.721517 BjCc 24.181340 
BjCm 20.251132 BkBu 24.704119 BkCd 23.777805 BmBn 22.801480 BmCe 23.584467 
BmCk 21.242741 BnBy 24.413306 BoBu 20.116998 BpBx 20.472426 BpCq 20.371523 
BqBy 23.319163 BqCh 22.162018 BqCm 20.055206 BqCn 23.025786 BqCr 20.365861 
BsBw 24.335355 BsCc 21.183467 BtCc 20.003073 BtCl 22.762449 BtCn 20.103662 
BuBv 22.607979 BuCi 23.499347 BvCg 21.299083 BvCk 22.079113 BwCh 24.955675 
BwCk 24.672832 BxCf 22.466036 BxCq 23.818498 ByCl 23.244892 ByCn 23.477673 
ByCr 20.580274 BzCd 21.978577 CaCe 21.650003 CbCd 21.168862 CbCl 21.539011 
CcCh 20.658370 CcCo 22.737752 CdCh 22.376928 CeCk 23.724679 CfCl 22.724568 
CfCo 20.306645 CgCo 24.375950 ChCl 23.855384 CiCr 22.544709 CjCl 20.930831 
CnCp 20.052530 
1.000000 0.000000 0.200000
3.429896 -7.886432 1.720000
0.946670 0.737439 0.240000
7.375348 -0.603527 1.480000
1.968079 3.935310 0.880000
5.219489 5.524213 1.520000
8.397403 -2.631277 1.760000
-0.258560 -3.791193 0.760000
3.009567 -2.634863 0.800000
-0.876412 7.750607 1.560000
-1.463786 4.360887 0.920000
-2.620553 -12.937260 2.640000
-6.730201 4.324858 1.600000
11.999178 -0.140438 2.400000
0.096642 -6.999333 1.400000
8.503434 2.948153 1.800000
-7.325788 -3.684133 1.640000
6.135714 -8.148191 2.040000
6.460309 10.349126 2.440000
7.897741 11.316611 2.760000
-3.446710 -11.076109 2.320000
0.175546 1.388951 0.280000
-4.316148 10.117849 2.200000
9.674068 -3.817383 2.080000
-14.330551 1.412550 2.880000
1.125321 -2.119824 0.480000
8.956721 5.668963 2.120000
4.802704 -2.879937 1.120000
5.794321 0.256609 1.160000
-0.899121 12.367360 2.480000
-3.081291 -7.814451 1.680000
2.581652 -0.308337 0.520000
9.672808 -9.273445 2.680000
-7.607525 10.044181 2.520000
4.810618 3.585798 1.200000
-3.986982 2.672822 0.960000
-10.891924 2.608829 2.240000
-9.564409 10.495812 2.840000
-0.635750 1.468272 0.320000
-4.697962 -1.711478 1.000000
-2.398113 9.088952 1.880000
-8.672485 4.116795 1.920000
-1.720203 0.530001 0.360000
-3.972363 -14.256940 2.960000
2.232113 1.690465 0.560000
13.399803 2.324928 2.720000
0.593490 2.940709 0.600000
-1.944629 2.541341 0.640000
3.942528 10.054674 2.160000
4.141418 0.699039 0.840000
0.974887 6.122875 1.240000
-12.158584 -8.082625 2.920000
-9.060311 -3.735071 1.960000
4.857616 7.813038 1.840000
-2.719706 -9.623056 2.000000
7.287850 -9.280476 2.360000
-3.155427 -4.133193 1.040000
-1.698364 -1.056201 0.400000
-0.733020 -2.074291 0.440000
-3.338635 0.643052 0.680000
-9.415243 -6.427534 2.280000
-2.865235 13.703665 2.800000
1.879746 -5.062268 1.080000
3.765287 -6.136987 1.440000
-4.526453 4.524513 1.280000
-6.399986 1.612507 1.320000
-3.198792 -1.651585 0.720000
-11.870333 4.789070 2.560000
-10.246730 -8.000283 2.600000
-5.773165 -3.593128 1.360000

A graph with unknown solution, probably unexisting
