80 nodes
316 edges
AaAm 23.636714 AaAz 20.164605 AaBa 24.747779 AaBq 20.427153 AaBx 20.701026 
AaCf 22.347131 AaCt 20.111454 AaCw 20.548013 AaCx 22.500683 AbAe 22.360875 
AbAh 23.312848 AbAp 23.763459 AbAr 21.135242 AbAu 23.883789 AbBj 20.376899 
AbBq 24.039623 AbBw 20.055227 AbCa 21.792208 AbCd 21.121884 AbCf 23.355002 
AbCo 24.437453 AbCr 24.190312 AcAk 24.178538 AcAs 22.433648 AcBj 23.945698 
AcBo 20.887860 AcBt 24.274191 AcBu 21.047242 AcCc 23.300275 AdAe 21.816385 
AdAo 24.232985 AdCf 24.098208 AdCh 22.889629 AeAk 23.918471 AeAs 21.162082 
AeBu 24.061587 AeBx 20.867591 AeCb 24.036676 AeCc 21.286473 AeCl 21.609726 
AeCm 21.516002 AeCn 22.171188 AeCp 22.151968 AfAu 21.150828 AfAy 20.778187 
AfBm 20.154302 AfBo 21.757672 AfBw 21.829651 AgAv 20.035436 AgAy 21.419302 
AgBm 22.258913 AgCa 22.491147 AgDa 23.328504 AhAs 24.707521 AhBp 20.630127 
AhCb 21.000447 AhCd 24.594688 AhCs 22.322002 AhCt 21.657255 AiAp 21.243314 
AiBf 20.946093 AiBi 21.242221 AiBy 20.213943 AiBz 21.495422 AiCl 22.355132 
AiCp 23.006087 AiCx 23.716665 AjAo 22.513275 AjAu 23.400206 AjBd 21.116534 
AjBk 23.207224 AjBp 21.379520 AjBu 24.003285 AjBx 24.349000 AkAt 24.093933 
AkBa 23.800325 AkBo 21.867142 AkBz 22.694253 AkCd 24.897415 AkCj 21.514166 
AkCu 20.638848 AlAm 21.912594 AlAn 21.892197 AlBd 21.326776 AlBi 24.827683 
AlBj 20.748504 AlCp 24.007350 AlCu 23.209423 AmAq 24.998432 AmAz 24.214407 
AmBw 22.888505 AmCg 22.686433 AmCp 22.901333 AmCs 23.650368 AnAp 24.250142 
AnBk 21.666848 AnBy 20.058697 AnCb 21.767672 AnCc 23.008232 AnCg 22.814682 
AnCl 22.947957 AnCy 24.205093 AoAq 23.977930 AoAu 24.325606 AoAy 21.675845 
AoCc 23.839128 AoCk 23.769086 ApAt 20.097252 ApAy 22.141584 ApBb 22.713646 
ApBi 20.650274 ApBx 22.533536 ApCd 24.584034 ApCi 20.103948 ApCr 21.341936 
AqAv 20.961881 AqBe 21.100799 AqBf 21.029084 AqBj 24.084154 AqBp 24.475072 
AqCc 22.135442 AqCp 23.974558 ArAz 20.819960 ArBd 23.835751 ArBu 20.686657 
ArBz 21.537507 ArCu 24.544559 ArCz 20.016569 AsAt 24.829083 AsAy 24.754224 
AsBe 23.310468 AsBj 24.836398 AtAw 24.502327 AtBj 24.925508 AtBs 20.989716 
AtCa 21.810210 AtDb 24.737816 AuBq 24.803854 AuCa 24.282826 AuCb 24.354759 
AvBd 23.358041 AvBe 23.556601 AvCe 24.979068 AvCh 24.911024 AvCm 23.629630 
AvDb 21.768913 AwAz 22.982925 AwBt 24.192766 AwCa 24.066842 AwCb 24.993894 
AwCe 23.015866 AwCp 21.338643 AxBp 21.601544 AxCj 21.896500 AyBo 22.480011 
AyBx 24.252431 AyCd 24.343423 AyCz 21.648229 AyDb 22.228448 AzBb 21.989444 
AzBc 20.708895 AzBe 22.044546 AzBf 20.076435 AzBm 23.034588 AzCc 23.472813 
AzCh 23.918398 AzCo 23.444163 BaBi 23.301682 BaBl 23.798351 BaCb 22.376683 
BaCm 22.982772 BaCq 23.247923 BaDb 22.529029 BbBi 22.977609 BbBp 24.678171 
BbBx 24.161486 BbCb 21.110852 BbCc 23.410570 BbCj 22.874776 BbCn 20.842571 
BbCy 22.760298 BcBi 23.468619 BcBx 21.637039 BdBh 21.089548 BdBl 20.873589 
BdBs 21.508632 BdCk 24.919326 BdCo 21.559657 BdCu 22.618105 BeCa 21.170729 
BeCd 20.595543 BeCe 24.780370 BeCk 24.794398 BeCn 23.775372 BfBl 23.190746 
BfBs 23.921052 BfCw 20.752958 BfCx 23.882746 BgBo 24.467551 BgBs 22.251156 
BgCb 22.559624 BgCl 21.733046 BgDa 20.646192 BhBk 23.291297 BhBv 23.859921 
BhBz 22.074339 BhCi 22.450406 BiCh 22.600495 BjCc 20.906208 BkCk 21.575467 
BkCv 22.718088 BkCw 24.049887 BkCy 23.602953 BlBo 23.664043 BlBu 21.070381 
BmCb 24.354731 BmCe 20.345552 BmCv 22.289358 BnCc 22.380915 BnCv 20.291246 
BnDa 23.771077 BoBu 22.212604 BoBz 24.957924 BoCo 24.776966 BpBr 20.671377 
BpCc 24.757671 BpCd 20.983796 BpCg 20.315870 BpCk 22.995108 BpCo 20.068328 
BpCt 23.508487 BpCx 20.865784 BqBu 20.494570 BqBy 20.549053 BqBz 24.920043 
BqCd 24.309876 BqCw 24.478262 BqCy 23.520748 BrCb 23.172853 BrCg 22.311084 
BrCl 21.131873 BrCo 23.539156 BrCp 24.254857 BrCt 21.183524 BsBv 22.468692 
BsCa 22.757094 BsCb 20.590814 BsCe 21.939205 BsCg 24.481593 BsCl 20.703059 
BsCp 23.252214 BtBy 21.668107 BtCa 20.382772 BtCj 23.872940 BtCu 22.478188 
BuCa 24.801214 BuCm 22.247080 BuCr 22.326964 BuCw 23.349737 BuCx 24.557402 
BuDa 21.699445 BvCv 22.691650 BvCy 20.458417 BwBx 22.911695 BwCh 23.417078 
BxCm 20.382254 BxCw 23.747897 ByCd 20.099088 ByCv 21.163289 BzCa 24.966883 
BzCg 20.804560 BzCh 24.399588 BzCo 20.606535 BzCt 23.988693 BzCx 23.500830 
CaCw 20.157568 CbCr 22.115180 CcCf 21.640697 CdCi 20.063689 CdCj 20.911377 
CdCo 22.123398 CdCv 20.090810 CeCn 22.234883 CeCv 22.881166 CfCk 20.749713 
CfCo 23.205200 CfCp 20.174231 CfCv 21.738468 CgCr 20.664924 ChCj 21.457045 
CiCk 23.549657 CiCn 20.627305 CiCp 23.472796 CiCx 23.611164 CjCv 23.742586 
CjCy 23.272048 CkCw 21.807006 CkDb 24.969000 ClCo 20.655567 CmCr 23.633146 
CnCr 24.593065 CoCp 21.615423 CoCw 20.728390 CoCy 24.334128 CpCq 23.980795 
CsCu 22.159983 CsCw 21.863873 CsCx 23.689240 CsDb 24.046747 CtDa 20.406452 
CuCv 24.292223 CvDb 20.605821 CwCx 24.328172 CyCz 21.041215 CyDb 21.851858 
DaDb 24.210313 
1.000000 0.000000 0.200000
4.166041 -6.356422 1.520000
10.819590 -10.958854 3.080000
-0.957171 9.753144 1.960000
0.287377 -8.995411 1.800000
-13.187722 0.569207 2.640000
-1.801491 -15.092867 3.040000
-2.880580 -9.993111 2.080000
-8.854624 7.493707 2.320000
7.825625 -4.837312 1.840000
4.609132 4.146794 1.240000
1.858379 2.355086 0.600000
0.789955 0.903311 0.240000
-8.541072 -8.429122 2.400000
2.920422 12.462389 2.560000
9.316837 1.247616 1.880000
-0.282475 3.187508 0.640000
3.042080 -2.895816 0.840000
-10.877802 -10.328282 3.000000
13.990842 0.506293 2.800000
7.365686 -2.566451 1.560000
-7.356444 10.718336 2.600000
4.278698 1.026032 0.880000
11.149437 -12.567022 3.360000
5.700348 7.724379 1.920000
0.147088 1.392252 0.280000
-1.007126 1.243261 0.320000
3.334020 3.169276 0.920000
-0.239933 4.794000 0.960000
0.669269 -12.181629 2.440000
-3.644912 3.422662 1.000000
-5.196982 -0.177130 1.040000
-14.604907 7.009757 3.240000
-14.654283 -7.362878 3.280000
1.485709 6.225164 1.280000
11.004318 -5.715329 2.480000
9.859109 5.313940 2.240000
-2.078465 6.264182 1.320000
-2.601332 -4.732132 1.080000
15.424306 2.334695 3.120000
6.284693 14.496297 3.160000
3.586882 -9.974682 2.120000
-1.739279 0.463582 0.360000
8.592993 -6.542207 2.160000
-9.289929 -9.656978 2.680000
10.985655 8.997521 2.840000
6.892044 4.061986 1.600000
-5.109903 -15.793951 3.320000
-2.898742 1.776877 0.680000
-1.907467 -0.601307 0.400000
1.327185 8.091884 1.640000
-5.466007 6.378305 1.680000
1.526350 11.297356 2.280000
-5.992348 3.214306 1.360000
0.303045 -5.591794 1.120000
-8.406758 1.812850 1.720000
1.726653 14.296107 2.880000
-0.520282 -2.137594 0.440000
-3.575797 -0.416742 0.720000
4.107329 -4.095100 1.160000
-11.588574 -2.223723 2.360000
-7.924462 12.262255 2.920000
-8.891903 4.575376 2.000000
-2.000869 15.874398 3.200000
-6.752514 -1.844873 1.400000
-14.788630 0.580026 2.960000
5.912957 1.018301 1.200000
-2.777042 -2.593846 0.760000
-4.846866 -5.324273 1.440000
0.883861 -13.571249 2.720000
0.363913 -3.983411 0.800000
0.994134 -2.184422 0.480000
11.394673 5.377865 2.520000
-8.783973 -5.184767 2.040000
2.508994 -0.681872 0.520000
2.655149 0.888922 0.560000
-7.399669 -4.762867 1.760000
11.890823 -7.003452 2.760000
10.985548 -0.563688 2.200000
-0.410056 -7.388630 1.480000

A graph with unknown solution, probably unexisting
