70 nodes
241 edges
AaAf 16.021324 AaAm 20.429534 AaAx 17.937617 AaBm 23.426923 AaBp 23.966289 
AaBv 4.240580 AaBy 13.279324 AaBz 16.283136 AbAc 1.885280 AbAj 19.305283 
AbBw 14.313570 AbCc 24.029262 AbCf 5.661399 AcAh 10.395458 AcAk 7.197423 
AcAq 22.141093 AcBh 13.208661 AcBq 17.514933 AcCa 22.395609 AcCn 8.961448 
AcCo 3.224933 AdAz 24.480009 AdBa 20.365227 AdBi 24.393379 AdBv 6.103638 
AdCj 21.352358 AdCo 11.668474 AeAf 20.890228 AeAi 10.968525 AeAo 5.393018 
AeAv 19.802202 AeBj 16.349866 AeBk 21.146231 AeBn 9.954027 AeBv 15.528021 
AfAu 23.430098 AfAw 15.032212 AfBl 7.171373 AfBq 9.974771 AfBw 19.609495 
AfCn 5.615272 AfCq 6.674969 AgBc 5.116727 AgBg 4.165742 AgBi 6.999435 
AgCl 13.390294 AgCq 4.986763 AgCr 22.666304 AhAn 3.595948 AhAq 15.296737 
AhAz 14.413162 AhBt 20.575509 AiAn 22.866966 AiBb 10.481737 AiBi 20.638943 
AiBo 15.953922 AiBp 8.083192 AiCc 20.680198 AiCi 8.577742 AiCk 2.845171 
AjAl 4.465880 AjAt 17.511935 AjBd 14.687790 AjBi 3.722886 AjCa 4.536205 
AjCi 24.488337 AkAq 9.093041 AkBe 9.065021 AkBk 8.039013 AkBt 20.775616 
AkCc 18.930961 AkCj 14.576920 AlBb 23.053511 AlBs 9.525341 AlBw 11.719657 
AlBy 13.129713 AmAt 1.255107 AmBc 1.526518 AmBo 15.874378 AmBu 3.713209 
AmBw 3.415565 AmBz 6.811857 AmCd 15.331981 AmCl 5.276146 AnAr 24.193633 
AnBh 8.648178 AnBk 15.567281 AnBm 6.089679 AnBt 10.051171 AnBv 20.557945 
AnCh 12.615114 AnCq 4.245019 AoAq 15.637372 AoAs 23.529698 AoBd 18.463394 
AoBo 5.017629 AoCi 7.911142 AoCk 2.287583 AoCn 11.673434 ApBd 15.484899 
ApBj 24.798734 ApBn 24.535955 ApBu 4.122108 ApBv 2.983236 AqAv 1.931499 
AqAz 8.112844 AqBk 20.218287 AqBo 15.434435 AqCf 11.530584 AqCo 20.917491 
ArAv 17.089331 ArAz 1.927917 ArBb 10.328165 ArBg 15.179474 ArBn 13.293849 
AsBe 22.407659 AsBl 8.909180 AsBm 8.696949 AsBn 11.431847 AsCk 1.498116 
AsCo 5.630929 AtAu 3.845574 AtAy 10.960642 AtBg 20.085622 AtBw 14.117492 
AtCd 3.393259 AtCi 19.184898 AtCq 22.722215 AuBb 16.917594 AuBi 12.430018 
AuBq 21.833435 AuCj 16.590916 AvBc 5.264156 AvBm 17.554703 AvBu 11.651168 
AvCc 17.899630 AvCg 8.560237 AwBf 5.698558 AwBm 16.725130 AwCc 11.716621 
AwCj 11.670563 AwCm 24.827557 AwCq 19.010927 AxAy 24.530335 AxBh 15.029316 
AxBi 3.872194 AxBo 10.695538 AxBw 18.557978 AxBz 23.174954 AyAz 2.957007 
AyBb 20.533633 AyBp 12.545949 AyBt 18.980625 AyBv 10.784343 AyCe 16.683014 
AzBo 5.000278 AzBr 24.269675 AzBt 18.863204 AzCe 5.305642 AzCp 7.589936 
BaBe 24.170715 BaBk 9.137421 BaBz 10.628361 BaCc 18.742109 BaCe 8.700965 
BaCq 10.295468 BbBn 8.442206 BbCa 1.341142 BbCr 18.761764 BcBd 20.143343 
BeBg 6.015937 BeBv 22.005315 BeBw 17.437553 BeBy 9.762751 BeBz 23.429132 
BfBg 14.094330 BfBi 5.233393 BfCc 21.527518 BgBw 15.900301 BgCg 16.998544 
BhCa 17.468797 BhCf 7.766857 BiBw 12.889808 BiBy 13.204804 BiCb 21.769783 
BiCe 13.906740 BjBp 12.527269 BjBz 22.769597 BjCb 21.992985 BjCi 13.806121 
BkCa 14.297336 BkCg 6.462997 BkCj 1.848962 BkCq 24.159416 BlBp 11.598208 
BlBq 12.210438 BlBs 4.291131 BlCg 23.929763 BlCn 9.055632 BmBn 20.118968 
BmBy 21.320881 BmCa 1.501509 BmCi 12.939945 BmCj 23.613103 BnCi 17.102834 
BoBr 23.947707 BoBy 3.935007 BoCl 21.894296 BoCq 11.439185 BpBu 12.617513 
BpBw 12.154704 BpCh 4.075126 BqBz 24.164924 BqCk 12.187662 BrCh 21.910310 
BrCj 15.437114 BrCp 8.635871 BsCf 20.868454 BsCk 2.279271 BtCf 14.968021 
BuCi 1.657618 BvCk 19.931622 BwBz 18.095465 BxCe 13.770972 ByCa 2.375915 
ByCf 4.269528 ByCl 5.702551 ByCn 10.732433 BzCl 23.584012 BzCp 19.426922 
CaCc 22.897436 CcCk 6.261729 CdCh 9.439921 CdCn 15.720515 CfCl 8.905446 
CfCo 5.709353 CgCk 1.435945 ChCl 8.363705 CiCp 3.629450 CkCp 22.326425 
CmCq 14.151308 
1.000000 0.000000 0.200000
6.688635 -9.477455 2.320000
-0.727444 -11.376767 2.280000
-1.739432 -8.013387 1.640000
2.224621 1.700312 0.560000
0.830354 0.866321 0.240000
9.548838 7.267716 2.400000
-7.349123 11.680342 2.760000
-1.084645 7.522203 1.520000
1.614648 12.092680 2.440000
1.059236 -14.360989 2.880000
4.018854 8.052876 1.800000
-0.070825 1.398207 0.280000
-3.991965 4.743861 1.240000
-7.236338 -6.608737 1.960000
4.341667 -7.190962 1.680000
-12.321569 -2.634188 2.520000
-13.921612 1.479436 2.800000
-6.375764 -0.556445 1.280000
0.509285 4.370427 0.880000
-0.038647 2.999751 0.600000
-4.317360 -4.992034 1.320000
-2.066112 2.443600 0.640000
-1.279573 0.960570 0.320000
5.569335 0.585244 1.120000
-5.424415 -11.593780 2.560000
-8.047960 4.856989 1.880000
9.008946 -4.783188 2.040000
-2.920278 3.554149 0.920000
-9.624602 7.818378 2.480000
8.090071 -2.917319 1.720000
10.338111 1.132902 2.080000
11.434009 -2.916067 2.360000
3.885912 4.305774 1.160000
-0.716230 5.957098 1.200000
-6.958899 3.523311 1.560000
2.046848 -9.788279 2.000000
-3.301213 0.813628 0.680000
-1.795052 0.133376 0.360000
0.041911 -6.799871 1.360000
-4.762513 -0.598724 0.960000
-1.581593 -1.224159 0.400000
-2.864406 -2.180637 0.720000
4.046547 -12.354167 2.600000
-10.725423 2.442399 2.200000
11.795759 -5.924532 2.640000
-3.639301 -3.428628 1.000000
-0.164569 -2.193836 0.440000
0.389837 -3.779951 0.760000
14.705525 -1.669593 2.960000
1.422673 -1.932874 0.480000
2.598008 0.101768 0.520000
5.351133 -4.512802 1.400000
5.732790 12.332685 2.720000
4.424454 9.632456 2.120000
0.265099 -5.193238 1.040000
12.018517 5.925813 2.680000
-3.199087 8.625882 1.840000
-7.641447 -8.188302 2.240000
-7.284474 -3.307028 1.600000
6.854052 2.204987 1.440000
3.836841 6.327610 1.480000
7.921345 3.833053 1.760000
3.933731 -3.699427 1.080000
-5.659507 9.198368 2.160000
3.506028 -1.925557 0.800000
-9.367567 -10.671865 2.840000
-9.415249 -1.874322 1.920000
3.649962 2.077926 0.840000
9.326417 -11.232896 2.920000

A graph with unknown solution, probably unexisting
