80 nodes
316 edges
AaAd 7.240394 AaAe 10.514951 AaAj 16.464721 AaAm 3.510000 AaAn 1.661512 
AaBe 13.287898 AaBf 16.742359 AaBg 10.402090 AaBn 16.151508 AaCw 21.054419 
AbAi 4.905886 AbAn 6.639263 AbAt 12.625984 AbBc 8.345773 AbBe 23.415860 
AbBj 2.630252 AbBq 16.093797 AbCa 3.150867 AbDa 11.545851 AcAe 1.589363 
AcAq 15.105022 AcAt 6.019442 AcBg 7.813158 AcBj 24.337774 AcBk 17.386112 
AcBw 23.499406 AdAi 12.889275 AdAt 16.464466 AdBk 1.614700 AdBo 9.298965 
AdBw 2.798988 AdCf 12.230063 AdCm 10.317630 AdCt 14.849901 AdDa 14.438536 
AeAw 3.732268 AeBj 12.995699 AfAq 6.142295 AfAu 15.977851 AfAx 15.177525 
AfAz 17.568484 AfBb 18.360449 AfBg 16.672331 AfCb 4.688279 AfCq 6.112169 
AgAk 9.487766 AgAu 18.156112 AgBk 22.356173 AgBn 6.303012 AgBv 10.375908 
AgBy 17.653101 AgCc 7.350045 AgCm 24.527450 AgCo 20.067290 AgCp 10.428006 
AhAj 7.509773 AhAp 24.107272 AhCd 20.529146 AhCq 24.400102 AhDa 24.081318 
AiAq 14.939979 AiAu 3.139230 AiAw 7.045866 AiCb 16.355240 AiCd 15.973114 
AiCs 21.444951 AiCx 24.946507 AjAx 12.905511 AjBd 22.182581 AjBh 15.072199 
AjCa 7.742159 AjDa 1.911312 AkAz 21.413752 AkBz 2.579250 AkCf 23.073281 
AkCl 14.637144 AkCm 22.898322 AkCq 4.073854 AlAq 24.189104 AlAt 11.077424 
AlBt 15.043776 AlCa 8.562030 AlDb 14.490462 AmAn 16.300943 AmBd 18.370455 
AmBn 14.103452 AmCm 15.255700 AnAp 5.711586 AnAv 16.535358 AnBh 1.917307 
AnBk 19.652787 AnCa 16.244808 AnCf 13.342416 AnCn 7.068949 AnCt 9.109352 
AnCw 3.348617 AoAu 7.168293 AoBd 8.614014 AoBf 5.652443 AoBp 21.891345 
AoCs 4.131785 ApBj 3.673818 ApBo 15.388280 ApBq 22.321284 ApCv 7.119099 
ApCz 24.221716 AqAt 8.254076 AqAu 5.968663 AqBn 5.027323 AqBo 4.944945 
AqBq 13.539139 AqBy 8.763734 AqCx 13.709110 AqCy 1.226393 ArAz 12.467072 
ArBg 1.938914 ArBh 14.507795 ArBj 7.524580 ArBq 1.117535 ArBu 1.305541 
ArBy 10.466719 ArCz 8.662980 AsAv 3.027622 AsBb 11.819797 AsBw 3.898840 
AsCe 10.479008 AtAu 14.635589 AtAv 20.822096 AtBy 15.850819 AtCa 10.751275 
AtCc 20.237248 AtCe 21.647748 AtDb 12.170093 AuAz 14.821733 AuCd 10.170867 
AuCm 20.391504 AuCn 22.871376 AuCw 15.746598 AvBe 11.194662 AvBi 1.073996 
AvBl 18.448458 AvBo 12.278138 AvBy 11.805191 AvCl 21.032022 AvCm 6.488572 
AwBi 4.935104 AwCj 5.345436 AwDa 8.146641 AxBi 19.129895 AxBp 11.502502 
AxCd 18.430751 AxCe 19.169936 AxCj 8.443646 AxCo 2.800612 AxCw 21.688180 
AxCx 18.057326 AxCy 24.587581 AxDb 6.376495 AyBf 10.316382 AyBo 8.655568 
AyBq 12.420902 AyCz 20.478863 AzCa 21.058776 AzCg 13.674671 AzCn 7.124443 
BaBd 23.246773 BaBo 20.278342 BaCh 2.856385 BaCo 4.191102 BaCv 8.912597 
BbBh 9.715155 BbBr 8.188192 BbBu 21.772845 BbCe 11.422229 BbCg 7.265393 
BbCm 12.985715 BbCn 17.184682 BcBi 20.502327 BcBt 12.455376 BcCk 22.846475 
BcCm 24.816119 BcCn 5.734556 BcCr 14.621610 BcCy 5.707819 BdBm 4.581199 
BdBo 7.727935 BdBp 17.412349 BdCr 17.776575 BeBi 10.674534 BeCn 18.474595 
BfBg 4.502260 BfBh 18.568918 BfBw 8.573113 BfCk 11.336414 BfCn 3.108197 
BfCz 1.101923 BfDa 7.467003 BfDb 21.161353 BgBv 14.468050 BgBw 15.020030 
BgCa 7.723315 BgCj 12.982822 BgCk 20.372648 BgCp 18.267210 BgCq 18.917311 
BgCv 11.896119 BhBs 21.394882 BhCd 20.075032 BhCe 18.769984 BhCi 20.478155 
BhCo 10.751982 BhCt 19.431020 BhCu 4.281617 BiBj 8.388986 BiBr 21.365804 
BiBy 17.054236 BiCk 22.371447 BiCv 24.808377 BjBp 16.762340 BjBv 19.075442 
BjCa 21.418493 BjCi 8.959645 BjCl 2.986866 BjCw 3.754294 BjCz 10.309072 
BkBm 14.750927 BkBn 10.269834 BkBy 20.691019 BkCo 6.896387 BkCq 14.096310 
BkCv 14.996083 BkCw 23.163279 BlBo 14.934796 BlBz 3.919560 BlCd 6.049780 
BlCs 9.227420 BlCv 24.451844 BlDb 9.990275 BmBs 7.922212 BmCa 15.386179 
BmCf 3.556977 BmCl 2.559556 BnCy 22.799375 BnCz 10.514987 BnDb 23.279677 
BoBw 24.062722 BoCk 17.170575 BoCs 23.297202 BpBv 22.459881 BpBy 9.597517 
BpCs 18.506936 BqCp 21.504196 BqCv 19.235854 BrBt 18.277449 BrCg 8.561906 
BrCm 17.759189 BrCp 5.251766 BsCo 9.562970 BtBy 3.555687 BtCd 21.624820 
BtCh 24.173998 BtCr 22.524102 BuBy 4.410764 BuCa 11.935093 BuCr 23.102312 
BvCb 9.182941 BvCr 18.009674 BwBz 10.241326 BwCc 19.806166 BwCm 15.231235 
BwCn 20.087550 BwCp 7.981345 BwCq 1.882832 BxCf 8.260212 BxCp 20.398887 
BxCq 20.612103 ByCa 21.346032 ByCd 7.038207 ByCq 1.691245 ByDb 3.569667 
BzCb 4.698667 BzCg 5.026546 BzCj 18.422692 BzCt 22.807348 CbCj 4.202018 
CcCj 6.797072 CdCo 2.091049 CdCt 23.675520 CdCw 19.265527 CfCt 6.690404 
CgCj 1.602755 ChCo 14.605284 CiCj 23.270284 CiCp 14.276755 CjCm 22.832158 
CkCo 14.911334 CmCx 20.015111 CnCt 23.710340 CnCw 9.182974 CnCy 20.840857 
CnDb 8.621544 CoCs 20.455928 CoCt 11.292029 CpCw 8.594293 CpCz 20.410303 
CpDa 1.515846 CqCv 21.987949 CqCz 13.995683 CqDb 19.605787 CrCs 19.239145 
CrDb 21.122783 CsCu 3.469883 CtCv 17.908428 CuCv 19.829964 CuCy 20.530666 
CyDa 16.657637 
1.000000 0.000000 0.200000
-6.581431 0.494734 1.320000
-4.951083 0.697696 1.000000
0.993125 0.673574 0.240000
0.249235 1.377636 0.280000
1.014029 -8.540009 1.720000
-3.383478 -9.410211 2.000000
3.451641 -4.409782 1.120000
-1.367218 2.893219 0.640000
-0.947354 1.289388 0.320000
11.913803 -6.559063 2.720000
-2.463103 -11.335481 2.320000
-1.799183 0.054230 0.360000
-1.710026 -1.037213 0.400000
2.736776 7.090138 1.520000
-4.047225 -5.464428 1.360000
3.605415 -9.541540 2.040000
7.803356 -4.067879 1.760000
-6.767677 -11.333073 2.640000
-3.220937 1.088836 0.680000
9.695895 4.283646 2.120000
1.421822 -6.854081 1.400000
-3.597941 -3.754307 1.040000
5.790570 0.330603 1.160000
-1.889519 7.567676 1.560000
-13.038903 8.923396 3.160000
-11.188736 6.217088 2.560000
5.164906 13.012446 2.800000
-8.592075 11.305585 2.840000
4.948731 3.392648 1.200000
-0.976211 -1.971551 0.440000
0.779697 -2.269818 0.480000
2.239371 -1.321067 0.520000
1.790898 5.935713 1.240000
6.731711 3.073120 1.480000
0.139275 -5.398204 1.080000
-3.155541 -1.732791 0.720000
-11.986944 -5.031220 2.600000
7.028795 10.215480 2.480000
2.703450 0.728943 0.560000
-0.492440 -3.767957 0.760000
-9.825955 -10.798639 2.920000
-6.582328 -14.802465 3.240000
-14.384860 -0.660151 2.880000
8.973705 12.515296 3.080000
16.474159 -2.040122 3.320000
-15.430751 -4.229886 3.200000
8.691887 2.334759 1.800000
2.625072 -3.018112 0.800000
13.652678 2.011068 2.760000
6.482122 -9.860126 2.360000
1.597301 -13.304459 2.680000
-2.927272 5.691316 1.280000
-5.784101 9.356505 2.200000
11.667811 -2.803960 2.400000
3.783701 10.115513 2.160000
11.694993 3.473780 2.440000
4.192356 0.253275 0.840000
7.345683 -14.662910 3.280000
15.251470 7.045044 3.360000
-2.041965 -14.658458 2.960000
5.925830 7.037367 1.840000
-6.742303 4.305966 1.600000
10.563025 -10.650000 3.000000
3.491866 2.677101 0.880000
6.522870 -3.048305 1.440000
-2.095352 12.424552 2.520000
-2.818627 8.967460 1.880000
-9.159799 2.873688 1.920000
15.136428 -1.388718 3.040000
-10.903322 2.560773 2.240000
0.006875 4.599995 0.920000
-0.619262 15.587704 3.120000
-9.549816 -2.200231 1.960000
1.369893 2.668968 0.600000
-9.702368 -5.985320 2.280000
10.026741 -2.761243 2.080000
-8.192831 0.342815 1.640000
-2.729712 3.948250 0.960000
-6.557077 -5.250213 1.680000

A graph with unknown solution, probably unexisting
